,publish_date,video_id,channel_id,collection_date
2490,2009-03-11 19:31:33.000000,kPHumGDA7I4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2491,2009-03-11 05:57:31.000000,OS-cLp1PEGQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2492,2009-03-10 11:27:23.000000,mFaGWHs8WqU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2493,2009-03-09 13:54:49.000000,7nkxHmDK2pY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2494,2009-03-05 00:26:22.000000,UcYBCB5dAuc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2495,2009-03-04 23:41:02.000000,BD1o3ySBoH4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2496,2009-03-02 18:57:17.000000,JG3_bYogeCY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2497,2009-02-27 17:07:57.000000,oo9axZZHFCQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2498,2009-02-24 21:23:34.000000,toorZ2X8PyE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2499,2009-02-19 23:44:55.000000,70D2cDIZRrs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.321988
2500,2009-02-17 15:42:34.000000,90P66t0Mdhw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.767769
2501,2009-02-13 22:46:48.000000,_pncnpkufU8,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.767769
2502,2009-02-09 21:22:11.000000,FMpnqjZ_Rmw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2503,2009-02-06 23:43:57.000000,o4pGK-Hu8YQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2504,2009-02-05 02:06:56.000000,dEDIyztZGBA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2505,2009-02-04 00:44:52.000000,JIkkHt2s-0k,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2506,2009-02-03 21:28:13.000000,_QXGergmtf4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2507,2009-02-02 22:48:29.000000,bj0EA3vCAfI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2508,2009-01-27 23:58:11.000000,AmmzE1RTYYk,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2509,2009-01-27 23:33:05.000000,TeAYuLB8VTg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2510,2009-01-27 19:17:27.000000,cxSJAeKphpM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2511,2009-01-26 23:04:12.000000,jiTH1mPViJs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2512,2009-01-26 20:13:26.000000,EMYK5cdYEiM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2513,2009-01-23 17:10:30.000000,1CjX5siphPA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2514,2009-01-22 23:40:35.000000,Qn5Pf63GemI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2515,2009-01-22 18:20:23.000000,HOJTS_mASPY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2516,2009-01-19 18:11:57.000000,I8OHdSvMwXQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2517,2009-01-15 23:09:23.000000,tPl9Go3hHDI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.768770
2518,2009-01-15 01:03:18.000000,3jMnMKfieR4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2519,2009-01-13 14:29:09.000000,BFwZ2IXsc7g,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2520,2008-12-19 02:42:29.000000,s4YbZ7iXFDA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2521,2008-12-17 15:18:43.000000,Jnqto6sDtGI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2522,2008-12-12 16:59:58.000000,KRNbTqgdYH4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2523,2008-12-11 15:13:58.000000,iQcUkd1w_TY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2524,2008-11-26 01:51:10.000000,aRVRTTMwhK8,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2525,2008-11-19 22:08:10.000000,G08bIB2Y9Cg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2526,2008-11-19 17:12:42.000000,TNKWiIo8Mgs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2527,2008-11-12 19:57:51.000000,136FNtfOgRY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2528,2008-10-30 19:53:18.000000,54tdYbCWpjk,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2529,2008-10-29 22:18:22.000000,d9nk8XwHbS4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2530,2008-10-24 21:55:02.000000,kDpKPRIfX8M,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2531,2008-10-23 15:53:45.000000,AsvCqxV31D4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2532,2008-10-22 19:20:37.000000,Ou5eVl5eqtg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2533,2008-10-14 16:07:11.000000,X5wHnzQx81g,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2534,2008-10-13 14:05:22.000000,pea9hBFUMH8,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2535,2008-10-09 15:10:56.000000,tT3KiB2otV0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
